SITE,YR,DOY,OBS
IITK,24,244,98.754
IITK,24,245,98.769
IITK,24,246,98.648
IITK,24,247,98.309
IITK,24,248,98.328
IITK,24,249,97.307
IITK,24,250,97.605
MANI,24,241,98.051
MANI,24,242,98.060
MANI,24,243,98.300
MANI,24,244,97.381
MANI,24,245,87.635
MANI,24,246,98.527
MANI,24,247,95.060
MANI,24,248,97.592
MANI,24,249,94.747
MANI,24,250,97.305
ROPA,24,241,73.450
ROPA,24,242,76.325
ROPA,24,243,94.387
ROPA,24,244,96.182
ROPA,24,245,98.256
ROPA,24,246,98.423
ROPA,24,247,96.865
ROPA,24,248,98.087
ROPA,24,249,97.924
ROPA,24,250,97.756
TRIV,24,241,96.232
TRIV,24,242,97.263
TRIV,24,243,97.163
TRIV,24,244,96.080
TRIV,24,245,97.191
TRIV,24,246,97.048
TRIV,24,247,96.946
TRIV,24,248,96.905
TRIV,24,249,96.967
TRIV,24,250,94.257
BOMB,24,251,93.358
BOMB,24,252,93.226
BOMB,24,253,92.925
BOMB,24,254,92.856
BOMB,24,255,92.353
IITK,24,251,98.129
IITK,24,252,98.218
IITK,24,253,97.567
IITK,24,254,97.404
IITK,24,255,98.261
MANI,24,251,95.687
MANI,24,252,97.558
MANI,24,253,97.440
MANI,24,254,91.079
MANI,24,255,95.813
ROPA,24,251,97.642
ROPA,24,252,98.195
ROPA,24,253,97.231
ROPA,24,254,98.029
ROPA,24,255,98.015
TRIV,24,251,95.788
TRIV,24,252,95.370
TRIV,24,253,95.371
TRIV,24,254,64.347
TRIV,24,255,76.337
TRIV,24,256,82.214
BOMB,24,256,93.472
BOMB,24,257,91.741
BOMB,24,258,89.927
BOMB,24,259,94.212
BOMB,24,260,92.764
BOMB,24,261,90.967
BOMB,24,262,93.036
BOMB,24,263,91.605
BOMB,24,264,91.309
BOMB,24,265,92.527
BOMB,24,266,93.973
BOMB,24,267,93.676
DHAN,24,267,89.246
IITK,24,256,98.608
IITK,24,257,98.187
IITK,24,258,98.397
IITK,24,259,99.045
IITK,24,260,97.961
IITK,24,261,98.385
IITK,24,262,97.136
IITK,24,263,98.389
IITK,24,264,98.611
IITK,24,265,98.237
IITK,24,266,98.034
IITK,24,267,98.079
MANI,24,256,97.344
MANI,24,257,97.351
MANI,24,258,97.586
MANI,24,259,97.964
MANI,24,260,97.767
MANI,24,261,93.122
MANI,24,262,96.960
MANI,24,263,98.134
MANI,24,264,96.847
MANI,24,265,97.585
MANI,24,266,98.444
MANI,24,267,84.853
ROPA,24,256,98.489
ROPA,24,257,96.875
ROPA,24,258,97.462
ROPA,24,259,98.035
ROPA,24,260,97.456
ROPA,24,261,97.966
ROPA,24,262,96.342
ROPA,24,263,97.924
ROPA,24,264,97.641
ROPA,24,265,96.826
ROPA,24,266,98.671
ROPA,24,267,97.577
TRIV,24,256,81.466
TRIV,24,257,22.228
TRIV,24,258,22.602
TRIV,24,259,25.554
TRIV,24,260,28.150
TRIV,24,261,27.443
TRIV,24,262,27.939
TRIV,24,263,56.321
TRIV,24,264,96.482
TRIV,24,265,96.111
TRIV,24,266,96.514
TRIV,24,267,97.105
BOMB,24,268,92.602
BOMB,24,269,94.063
BOMB,24,270,92.424
BOMB,24,271,91.032
BOMB,24,272,93.676
BOMB,24,273,93.382
BOMB,24,274,92.977
BOMB,24,275,93.605
BOMB,24,276,93.931
BOMB,24,277,92.841
BOMB,24,278,93.997
BOMB,24,279,92.361
BOMB,24,280,92.137
DHAN,24,268,90.765
DHAN,24,269,92.920
DHAN,24,270,90.463
DHAN,24,271,90.202
DHAN,24,272,90.626
DHAN,24,273,92.038
DHAN,24,274,91.919
DHAN,24,275,91.854
DHAN,24,276,91.993
DHAN,24,277,90.983
DHAN,24,278,91.481
DHAN,24,279,90.983
DHAN,24,280,91.889
IITK,24,268,98.061
IITK,24,269,98.526
IITK,24,270,98.181
IITK,24,271,95.867
IITK,24,272,98.884
IITK,24,273,98.551
IITK,24,274,97.902
IITK,24,275,98.692
IITK,24,276,98.768
IITK,24,277,97.776
IITK,24,278,99.031
IITK,24,278,97.126
IITK,24,279,96.883
IITK,24,280,97.831
MANI,24,268,94.466
MANI,24,269,98.331
MANI,24,270,97.255
MANI,24,271,95.216
MANI,24,272,96.497
MANI,24,273,97.816
MANI,24,274,97.875
MANI,24,275,98.291
MANI,24,276,98.401
MANI,24,277,96.808
MANI,24,278,97.463
MANI,24,279,96.447
MANI,24,280,97.781
ROPA,24,268,97.862
ROPA,24,269,97.307
ROPA,24,270,97.239
ROPA,24,271,95.469
ROPA,24,272,98.561
ROPA,24,273,97.137
ROPA,24,274,98.628
ROPA,24,275,98.954
ROPA,24,276,97.128
ROPA,24,277,96.275
ROPA,24,278,96.790
ROPA,24,279,96.992
ROPA,24,280,97.663
TRIV,24,268,96.580
TRIV,24,269,97.741
TRIV,24,270,95.812
TRIV,24,271,93.743
TRIV,24,272,97.280
TRIV,24,273,96.919
TRIV,24,274,95.706
TRIV,24,275,97.278
TRIV,24,276,97.525
TRIV,24,277,96.357
TRIV,24,278,95.737
TRIV,24,279,95.909
TRIV,24,280,96.800
