SITE,CONST,YR,DOY,MP1,MP2,MP5,OSMP1,OSMP2,OSMP5,OSGF,OSMW,OSIOD,S1,S2,S5X
TRIV,C,24,110,0.2867,0.1775,0.2088,1350.31,3331.57,719.909,2061,234.485,1702.57,42.94690461,,43.72244602
TRIV,C,24,111,0.2451,0.1769,0.1754,9200.33,11570,5343.67,27601,587.255,27601,42.94290526,,43.71370653
TRIV,C,24,112,0.2677,0.1895,0.1998,1107.75,1828.67,867.444,2126.88,238.439,1772.4,43.05607306,,43.80240085
TRIV,C,24,113,0.2562,0.1758,0.1829,708.289,22282,346.681,1736.45,363.716,1098.57,43.13944299,,43.84407961
TRIV,C,24,114,0.3035,0.1908,0.2331,377.306,838.63,243.762,734.216,187.352,560.124,43.1565758,,43.9196561
TRIV,C,24,115,0.323,0.2105,0.223,588.043,920.68,400.899,1333.85,166.732,749.151,42.99131256,,43.68866305
TRIV,C,24,116,0.2868,0.2237,0.1909,1360.72,3852,782.925,1943.89,237.681,1555.11,43.04613275,,43.76877055
TRIV,C,24,117,0.2442,0.2073,0.1817,6062.78,7672.33,3505.33,18188.3,376.31,13641.2,42.97617931,,43.75651898
TRIV,C,24,118,0.2487,0.2459,0.1797,2118.12,11566,1277.56,5006.45,364.709,3671.4,42.92995932,,43.72146523
TRIV,C,24,119,0.2643,0.2272,0.1851,2235.75,7381.67,1500.62,5365.8,303.153,3832.71,43.04305098,,43.85154966
TRIV,C,24,120,0.2853,0.236,0.193,655.354,2017.27,389.494,1580.56,292.06,1074.78,43.10336033,,43.85459011
TRIV,C,24,121,0.2478,0.177,0.1935,2498.09,3856.67,1674.63,13739.5,419.527,7851.14,43.20923014,,43.96058825
TRIV,C,24,122,0.2596,0.2297,0.1816,3708.27,3889.67,2690.5,13906,479.517,11124.8,43.01186236,,43.75197745
TRIV,C,24,123,0.2459,0.2466,0.1914,4223.77,0,1374.13,9151.5,263.986,6101,43.03997469,,43.78861825
TRIV,C,24,124,0.2761,0.2496,0.1959,1057.5,867.481,1434.91,2390.87,245.491,1833,42.9878666,,43.75121465
TRIV,C,24,125,0.2402,0.2065,0.1858,5517.8,3320.14,6387.4,9196.33,277.276,9196.33,42.90157037,,43.73427668
TRIV,C,24,126,0.1955,0.1776,0.1717,0,22019,10531.3,0,385.705,0,43.04091211,,43.87376665
TRIV,C,24,127,0.2066,0.1758,0.1748,5376.4,11065.5,2259.5,5973.78,590.813,5973.78,43.15483861,,43.98540593
TRIV,C,24,128,0.193,0.1749,0.1667,6848.75,5745.75,6361.4,10958,684.875,10958,43.20349151,,44.04387592
TRIV,C,24,129,0.2201,0.1772,0.1863,4264.62,4649.6,2476.31,18480,495,18480,43.03226167,,43.82456129
TRIV,C,24,130,0.2915,0.1787,0.2004,1037.75,1297.56,904.143,1964.32,426.364,1447.39,43.08986267,,43.80527879
TRIV,C,24,131,0.2379,0.1898,0.1821,4191.69,1912.42,6308.6,7784.57,514.075,7784.57,43.08107877,,43.80161643
TRIV,C,24,132,0.2518,0.1821,0.1771,4291.62,3368.71,4026.25,27895.5,832.701,27895.5,42.9596361,,43.73163759
TRIV,C,24,133,0.2379,0.1722,0.1816,2044.81,7140,1175.74,4089.62,625.471,3322.81,43.1279132,,43.85373665
TRIV,C,24,134,0.2319,0.1814,0.178,2068.81,22213,1127.71,4889.91,632.812,3361.81,43.2165828,,43.95333101
TRIV,C,24,135,0.2076,0.1761,0.1743,6104.67,4584.8,6403.6,27471,416.227,27471,43.19647051,,43.97857232
TRIV,C,24,136,0.203,0.1715,0.1726,11078.8,11590.5,6442.6,55394,571.072,55394,43.10192743,,43.88084301
TRIV,C,24,137,0.1953,0.1703,0.1712,10901.8,7708,15692.5,18169.7,389.35,18169.7,43.14040269,,43.89256427
TRIV,C,24,138,0.238,0.1784,0.1896,1708.09,1940.33,1206.73,3416.19,283.207,2876.79,43.05551201,,43.81117838
TRIV,C,24,139,0.2098,0.1764,0.1808,5572.6,5895.75,4591.86,9287.67,506.6,9287.67,43.01949762,,43.78638258
TRIV,C,24,140,0.2395,0.1951,0.1806,1788.8,1155.79,2113.6,2981.33,487.855,2683.2,43.10851936,,43.92661306
TRIV,C,24,141,0.2813,0.1974,0.1926,2208.92,2687.62,1575.65,17671.3,481.945,7573.43,43.20961459,,44.00432424
